HERD NAME,STATE,BREED,TOTAL COWS,COWS IN MILK,PERCENT 1ST LACTATION,MILK HERD,FAT PERCENT AVERAGE,PROTEIN PERCENT AVERAGE,FAT AND PROTEIN,ENERGY CORRECTED MILK,SOMATIC CELL COUNT HERD,DAYS IN MILK HERD,MILK LACTATION ONE,MILK OVER 270 DAYS IN MILK,PERCENT OVER 270 DAYS IN MILK,FIRST MILK LACTATION ONE,FIRST MILK LACTATION TWO,FIRST MILK LACTATION THREE PLUS,PEAK MILK LACTATION ONE,PEAK MILK LACTATION TWO,PEAK MILK LACTATION THREE PLUS,FOUR WEEK MILK LACTATION ONE,FOUR WEEK MILK LACTATION TWO,FOUR WEEK MILK LACTATION THREE PLUS,EIGHT WEEK MILK LACTATION ONE,EIGHT WEEK MILK LACTATION TWO,EIGHT WEEK MILK LACTATION THREE PLUS,DRY MATTER INTAKE,EFFICIENCY BY ENERGY CORRECTED MILK,PERCENT HEAT DETECTION,PERCENT PREGNANCY RATE,PERCENT PREGNANT HERD,CALVING INTERVAL,DAYS FIRST BREED AVERAGE,DAYS OPEN AVERAGE,DAYS OPEN MONTH AVERAGE,PERCENT OPEN GREATER THAN 150 DAYS,INVERSION,SOMATIC CELL COUNT GREATER THAN 500,EVALUATION DATE
HERD001,NM,Holstein,3235,2717,34.89142437,81.50165624,0,0,0,0,0,167.2602135,72.76582278,61.36755647,17.48251748,60.81481481,84.60294118,78.13068182,79.82109228,97.18302387,98.87439614,75.71328671,101.2727273,94.05035971,,,,0,0,0,0,0,0,0,0,0,0,0,0,Aug 01 2018
HERD002,ID,Holstein,1142,981,39.55147808,74.97767584,4.419062181,3.239857288,5.742479813,85.11711101,418.4010417,194.5616718,71.45438144,66.16519608,20.38735984,59.09090909,83.375,88.81481481,94.72955145,108.2882096,114.1902174,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,3.80761523,0,Jan 05 2017
HERD002,ID,Holstein,1126,954,39.09853249,74.7327044,3.649895178,3.090461216,5.03725062,76.6117102,404.943072,199.1477987,71.80268097,62.9084,25.47169811,62.39285714,77.25925926,75.54166667,94.67071823,106.6025105,113.5880682,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,12.09927611,0,Feb 02 2017
HERD002,ID,Holstein,1110,904,36.83628319,75.28384956,3.732079646,3.107632743,5.149198785,78.06907884,369.1033708,196.7676991,72.92672673,63.59710145,29.97787611,56.30434783,76.6,83.61904762,94.48395062,107.2259414,113.880117,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,9.793253536,0,Mar 02 2017
HERD002,ID,Holstein,1206,925,41.62162162,73.35448649,3.705513514,3.108756757,4.998572965,75.82389509,374.1664817,178.5545946,69.52441558,59.59876033,25.72972973,62.72727273,90.33333333,78.4137931,94.79832402,107.308,113.9654088,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,11.67728238,0,Apr 06 2017
HERD002,ID,Holstein,1167,940,43.40425532,79.3187234,3.576595745,3.039680851,5.247946133,80.26407095,316.304679,166.5053191,74.52720588,62.81435644,21.27659574,64.38636364,89.98148148,96.42857143,93.87014925,106.9416342,114.2668896,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,14.62655602,0,May 04 2017
HERD002,ID,Holstein,1185,1027,41.48003895,79.8345667,3.518013632,2.942356378,5.157608404,79.60343047,259.6183432,152.617332,74.91619718,60.81269841,18.11100292,66.35849057,84.53191489,82.73770492,95.62847059,106.237931,115.5457317,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,10.14354067,0,Jun 08 2017
HERD002,ID,Holstein,1191,1035,41.54589372,78.43468599,3.72057971,2.912270531,5.202455259,80.07431498,262.1188811,155.6657005,75.19046512,54.55947712,14.68599034,66.24,81.23809524,84.71428571,97.23120567,106.7272727,116.2749245,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,6.017191977,0,Jul 06 2017
HERD002,ID,Holstein,1176,1031,41.99806014,79.9671193,3.667604268,2.903782735,5.254948884,81.04322542,338.4631685,162.5480116,75.83025404,59.28258065,14.93695441,58.5,89.68181818,87.57142857,98.18450704,107.3578947,115.5749235,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,6.704980843,0,Aug 03 2017
HERD002,ID,Holstein,1157,1037,40.98360656,82.95207329,3.660462874,3.017839923,5.53979063,84.69986947,277.0108911,171.1253616,78.06964706,62.71925466,14.94696239,59.28571429,92.81818182,85.11904762,98.53054893,107.90625,115.1291291,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,9.532888465,0,Sep 07 2017
